Sequence	Candidate for	Resistance_to	Reference	MGS_DANOIS	isPhage	MGS_SIZE	superkingdom	phylum	class	order	family	genus	species	COG/NOG/KOG_v3	Functional category_v3	Annotation_eggNOG_v3
MC3.MG296.AS1.GP1.C20342.G2	tetM	tetracyclines	MGTETM_KF629195_1	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales				bactNOG01098	Translation, ribosomal structure and biogenesis 	This protein promotes the GTP-dependent translocation of the nascent protein chain from the A-site to the P-site of the ribosome
MC3.MG296.AS1.GP1.C26494.G3	tetM	tetracyclines	MGTETM_KF626700_1	11	-	2989	Bacteria	Firmicutes	Clostridia	Clostridiales				bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG296.AS1.GP1.C2721.G1	tetM	tetracyclines	OtrA_CAA37477_1	214	-	2744	Bacteria	Firmicutes	Clostridia	Clostridiales				bactNOG01098	Translation, ribosomal structure and biogenesis 	This protein promotes the GTP-dependent translocation of the nascent protein chain from the A-site to the P-site of the ribosome
MC3.MG296.AS1.GP1.C5260.G2	tetM	tetracyclines	MGTETM_KF628533_1	225	-	4197	Bacteria	Bacteroidetes						bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG297.AS1.GP1.C3377.G2	tetM	tetracyclines	OtrA_CAA37477_1	169	-	2601	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:169	bactNOG03814	Translation, ribosomal structure and biogenesis 	Selenocysteine-Specific translation elongation factor
MC3.MG297.AS1.GP1.C38251.G5	tetM	tetracyclines	MGTETM_KF629399_1	145	-	2438	Bacteria	Firmicutes						bactNOG01098	Translation, ribosomal structure and biogenesis 	This protein promotes the GTP-dependent translocation of the nascent protein chain from the A-site to the P-site of the ribosome
MC3.MG297.AS1.GP1.C44421.G11	tetM	tetracyclines	MGTETM_KF629399_1	145	-	2438	Bacteria	Firmicutes						bactNOG01674	Signal transduction mechanisms 	Gtp-Binding protein
MC3.MG298.AS1.GP1.C2963.G3	tetM	tetracyclines	OtrA_CAA37477_1	306	-	2517	Bacteria	Firmicutes	Clostridia					bactNOG01098	Translation, ribosomal structure and biogenesis 	This protein promotes the GTP-dependent translocation of the nascent protein chain from the A-site to the P-site of the ribosome
MC3.MG298.AS1.GP1.C3881.G3	tetM	tetracyclines	MGTETM_KF628871_1	306	-	2517	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:306	bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG298.AS1.GP1.C899.G1	tetM	tetracyclines	MGTETM_KF630147_1	210	-	2198	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella wadsworthensis	bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG299.AS1.GP1.C1152.G24	tetM	tetracyclines	TetQ_CAA41552_1	303	-	2791	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia sp. CAG:303	bactNOG01674	Signal transduction mechanisms 	Gtp-Binding protein
MC3.MG299.AS1.GP1.C26947.G20	tetM	tetracyclines	MGTETM_KF628635_1	303	proph	2791	Bacteria	Firmicutes	Clostridia	Clostridiales				bactNOG00297	Inorganic ion transport and metabolism 	Sulfate adenylyltransferase subunit 1
MC3.MG299.AS1.GP1.C33167.G3	tetM	tetracyclines	MGTETM_KF628871_1	484	-	2664	Bacteria	Firmicutes	Clostridia					bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG299.AS1.GP1.C54598.G48	tetM	tetracyclines	TetT_AAF01499_1L42544_1	274	-	2695	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:274	bactNOG02252	Translation, ribosomal structure and biogenesis 	Gtpase
MC3.MG299.AS1.GP1.C69163.G12	tetM	tetracyclines	MGTETM_KF629399_1	274	-	2695	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:274	bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG299.AS1.GP1.C70597.G5	tetM	tetracyclines	Tet36_CAD55718_1	380	-	2823	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia sp. CAG:380	bactNOG01674	Signal transduction mechanisms 	Gtp-Binding protein
MC3.MG299.AS1.GP1.C9418.G1	tetM	tetracyclines	TetT_AAF01499_1L42544_1	115	-	2580	Bacteria	Firmicutes	Clostridia					bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG3.AS1.GP1.C10423.G27	tetM	tetracyclines	MGTETM_KF627305_1	108	-	2813	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus bromii L2-63	bactNOG01098	Translation, ribosomal structure and biogenesis 	This protein promotes the GTP-dependent translocation of the nascent protein chain from the A-site to the P-site of the ribosome
MC3.MG3.AS1.GP1.C14315.G24	tetM	tetracyclines	MGTETM_KF629399_1	-	-	-	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella confusa	bactNOG01732	Translation, ribosomal structure and biogenesis 	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tR from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex (By similarity)
MC3.MG3.AS1.GP1.C14315.G69	tetM	tetracyclines	OtrA_CAA37477_1	-	-	-	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella confusa LBAE C39-2	bactNOG01674	Signal transduction mechanisms 	Gtp-Binding protein
MC3.MG3.AS1.GP1.C14317.G26	tetM	tetracyclines	TetBP_AAA20117_1	-	-	-	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella confusa	bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG3.AS1.GP1.C17208.G6	tetM	tetracyclines	MGTETM_KF629399_1	218	-	2011	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	Dialister invisus DSM 15470	bactNOG01098	Translation, ribosomal structure and biogenesis 	This protein promotes the GTP-dependent translocation of the nascent protein chain from the A-site to the P-site of the ribosome
MC3.MG3.AS1.GP1.C19448.G6	tetM	tetracyclines	OtrA_CAA37477_1	148	-	2447	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasanguinis	bactNOG01674	Signal transduction mechanisms 	Gtp-Binding protein
MC3.MG3.AS1.GP1.C30078.G3	tetM	tetracyclines	TetS_CAA63528_1	29	-	2432	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes		bactNOG01674	Signal transduction mechanisms 	Gtp-Binding protein
MC3.MG3.AS1.GP1.C35043.G7	tetM	tetracyclines	MGTETM_KF628314_1	108	-	2813	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	uncultured Eubacterium sp.	bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG3.AS1.GP1.C391.G30	tetM	tetracyclines	MGTETM_KF629399_1	138	-	2160	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:138	bactNOG01098	Translation, ribosomal structure and biogenesis 	This protein promotes the GTP-dependent translocation of the nascent protein chain from the A-site to the P-site of the ribosome
MC3.MG3.AS1.GP1.C42624.G8	tetM	tetracyclines	MGTETM_KF629399_1	218	-	2011	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	Dialister invisus	bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG3.AS1.GP1.C45013.G8	tetM	tetracyclines	MGTETM_KF628959_1	-	-	-	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella confusa	bactNOG01098	Translation, ribosomal structure and biogenesis 	This protein promotes the GTP-dependent translocation of the nascent protein chain from the A-site to the P-site of the ribosome
MC3.MG3.AS1.GP1.C45124.G10	tetM	tetracyclines	TetBP_AAA20117_1	-	-	-	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG3.AS1.GP1.C5272.G7	tetM	tetracyclines	MGTETM_KF628682_1	-	-	-	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella confusa	bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG3.AS1.GP1.C660.G5	tetM	tetracyclines	OtrA_CAA37477_1	286	-	1878	Bacteria	Firmicutes	Clostridia	Clostridiales				bactNOG01674	Signal transduction mechanisms 	Gtp-Binding protein
MC3.MG3.AS1.GP1.C9551.G2	tetM	tetracyclines	MGTETM_KF629399_1	157	-	1941	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp. CAG:157	bactNOG01098	Translation, ribosomal structure and biogenesis 	This protein promotes the GTP-dependent translocation of the nascent protein chain from the A-site to the P-site of the ribosome
MC3.MG3.AS1.GP1.C997.G9	tetM	tetracyclines	MGTETM_KF629399_1	62	-	2603	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:62	bactNOG01674	Signal transduction mechanisms 	Gtp-Binding protein
MC3.MG30.AS1.GP1.C11921.G1	tetM	tetracyclines	MGTETM_KF629399_1	396	-	1394	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium		bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG30.AS1.GP1.C12298.G3	tetM	tetracyclines	OtrA_CAA37477_1	-	-	-	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales				bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG30.AS1.GP1.C16968.G16	tetM	tetracyclines	TetBP_AAA20117_1	568	-	1451	Bacteria							bactNOG01098	Translation, ribosomal structure and biogenesis 	This protein promotes the GTP-dependent translocation of the nascent protein chain from the A-site to the P-site of the ribosome
MC3.MG30.AS1.GP1.C3048.G8	tetM	tetracyclines	TetBP_AAA20117_1	-	-	-	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella		bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG301.AS1.GP1.C28225.G1	tetM	tetracyclines	MGTETM_KF628682_1	-	-	-	Bacteria	Firmicutes	Clostridia					bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG301.AS1.GP1.C69829.G2	tetM	tetracyclines	MGTETM_KF629399_1	99	-	2622	Bacteria	Firmicutes	Clostridia	Clostridiales				bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG302.AS1.GP1.C41297.G2	tetM	tetracyclines	TetW_AAL09826_1	49	-	2115	Bacteria	Firmicutes						bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG302.AS1.GP1.C6358.G1	tetM	tetracyclines	MGTETM_KF629399_1	399	-	2782	Bacteria	Firmicutes						bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG302.AS1.GP1.C7991.G1	tetM	tetracyclines	TetT_AAF01499_1L42544_1	399	-	2782								bactNOG02252	Translation, ribosomal structure and biogenesis 	Gtpase
MC3.MG302.AS1.GP1.C894.G1	tetM	tetracyclines	TetT_AAF01499_1L42544_1	49	-	2115								bactNOG02252	Translation, ribosomal structure and biogenesis 	Gtpase
MC3.MG302.AS1.GP1.C906.G3	tetM	tetracyclines	MGTETM_KF628959_1	49	-	2115	Bacteria	Firmicutes	Clostridia	Clostridiales				bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG303.AS1.GP1.C14038.G1	tetM	tetracyclines	MGTETM_KF629024_1	944	-	3048								bactNOG02252	Translation, ribosomal structure and biogenesis 	Gtpase
MC3.MG303.AS1.GP1.C16536.G2	tetM	tetracyclines	MGTETM_KF629973_1	-	-	-	Bacteria	Firmicutes	Clostridia					bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG303.AS1.GP1.C16636.G5	tetM	tetracyclines	Tet44_WP_003454408_1	-	-	-	Bacteria	Firmicutes	Clostridia					bactNOG01098	Translation, ribosomal structure and biogenesis 	This protein promotes the GTP-dependent translocation of the nascent protein chain from the A-site to the P-site of the ribosome
MC3.MG303.AS1.GP1.C23464.G2	tetM	tetracyclines	MGTETM_KF629399_1	95	-	3255	Bacteria	Firmicutes	Clostridia	Clostridiales				bactNOG01098	Translation, ribosomal structure and biogenesis 	This protein promotes the GTP-dependent translocation of the nascent protein chain from the A-site to the P-site of the ribosome
MC3.MG303.AS1.GP1.C28438.G1	tetM	tetracyclines	MGTETM_KF628682_1	275	-	2599	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae			bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG303.AS1.GP1.C3826.G125	tetM	tetracyclines	Tet36_CAD55718_1	266	-	3082	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium sp. CAG:266	bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG303.AS1.GP1.C4371.G2	tetM	tetracyclines	MGTETM_KF629399_1	262	-	2520	Bacteria	Firmicutes						bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG303.AS1.GP1.C45007.G4	tetM	tetracyclines	TetBP_AAA20117_1	282	-	2906	Bacteria	Firmicutes						bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG303.AS1.GP1.C46822.G4	tetM	tetracyclines	TetBP_AAA20117_1	-	-	-	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella		bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG304.AS1.GP1.C13575.G5	tetM	tetracyclines	TetT_AAF01499_1L42544_1	-	-	-	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Anaeroglobus	Anaeroglobus geminatus	bactNOG01674	Signal transduction mechanisms 	Gtp-Binding protein
MC3.MG304.AS1.GP1.C16907.G5	tetM	tetracyclines	TetM_AAA26830_1	-	-	-	Bacteria	Proteobacteria	Betaproteobacteria					bactNOG01098	Translation, ribosomal structure and biogenesis 	This protein promotes the GTP-dependent translocation of the nascent protein chain from the A-site to the P-site of the ribosome
MC3.MG304.AS1.GP1.C17114.G14	tetM	tetracyclines	MGTETM_KF629399_1	-	-	-	Bacteria	Proteobacteria	Betaproteobacteria					bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG304.AS1.GP1.C17194.G14	tetM	tetracyclines	TetQ_AAB51122_1	-	-	-	Bacteria	Firmicutes	Negativicutes					bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG304.AS1.GP1.C17272.G28	tetM	tetracyclines	TetBP_AAA20117_1	-	-	-	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	Veillonella ratti	bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG304.AS1.GP1.C6472.G5	tetM	tetracyclines	MGTETM_KF629399_1	-	-	-	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae			bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG305.AS1.GP1.C10573.G6	tetM	tetracyclines	MGTETM_KF629327_1	-	-	-	Bacteria	Firmicutes						bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG305.AS1.GP1.C13183.G20	tetM	tetracyclines	MGTETM_KF628314_1	-	-	-	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Anaeroglobus	Anaeroglobus geminatus F0357	bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG305.AS1.GP1.C27363.G12	tetM	tetracyclines	MGTETM_KF629399_1	442	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium		bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG305.AS1.GP1.C316.G3	tetM	tetracyclines	MGTETM_KF627305_1	-	-	-	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Anaeroglobus	Anaeroglobus geminatus	bactNOG03814	Translation, ribosomal structure and biogenesis 	Selenocysteine-Specific translation elongation factor
MC3.MG306.AS1.GP1.C28370.G55	tetM	tetracyclines	MGTETM_KF629399_1	-	-	-	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera		bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG306.AS1.GP1.C30924.G6	tetM	tetracyclines	MGTETM_KF629399_1	117	-	1696	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG306.AS1.GP1.C36764.G6	tetM	tetracyclines	OtrA_CAA37477_1	117	-	1696	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium		bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG306.AS1.GP1.C43479.G63	tetM	tetracyclines	TetS_CAA63528_1	-	-	-	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	Megasphaera sp. NP3	bactNOG01674	Signal transduction mechanisms 	Gtp-Binding protein
MC3.MG306.AS1.GP1.C47727.G25	tetM	tetracyclines	MGTETM_KF628976_1	-	-	-	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	Megasphaera sp. NP3	bactNOG03814	Translation, ribosomal structure and biogenesis 	Selenocysteine-Specific translation elongation factor
MC3.MG307.AS1.GP1.C11894.G2	tetM	tetracyclines	MGTETM_KF628314_1	87	-	2092	Bacteria	Firmicutes	Clostridia					bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG307.AS1.GP1.C2845.G1	tetM	tetracyclines	TetT_AAF01499_1L42544_1	-	-	-	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG307.AS1.GP1.C34931.G5	tetM	tetracyclines	MGTETM_KF629399_1	75	-	2394	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:75	bactNOG01098	Translation, ribosomal structure and biogenesis 	This protein promotes the GTP-dependent translocation of the nascent protein chain from the A-site to the P-site of the ribosome
MC3.MG307.AS1.GP1.C38702.G2	tetM	tetracyclines	TetT_AAF01499_1L42544_1	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales				bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG307.AS1.GP1.C57401.G7	tetM	tetracyclines	TetQ_AAB51122_1	-	-	-	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG309.AS1.GP1.C39097.G11	tetM	tetracyclines	MGTETM_KF629399_1	351	-	2432	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales				bactNOG01732	Translation, ribosomal structure and biogenesis 	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tR from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex (By similarity)
MC3.MG309.AS1.GP1.C39097.G8	tetM	tetracyclines	MGTETM_KF629399_1	351	-	2432	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella sp. CAG:351	bactNOG01674	Signal transduction mechanisms 	Gtp-Binding protein
MC3.MG309.AS1.GP1.C48549.G27	tetM	tetracyclines	OtrA_CAA37477_1	265	-	3913	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG309.AS1.GP1.C5493.G1	tetM	tetracyclines	OtrA_CAA37477_1	351	-	2432	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella sp. CAG:351	bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG31.AS1.GP1.C9206.G2	tetM	tetracyclines	TetS_CAA63528_1	357	-	2146	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	Dialister sp. CAG:357	bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG310.AS1.GP1.C11040.G1	tetM	tetracyclines	TetBP_AAA20117_1	46	-	2241	Bacteria	Firmicutes	Clostridia					bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG310.AS1.GP1.C28843.G14	tetM	tetracyclines	MGTETM_KF628682_1	227	-	2705	Bacteria	Firmicutes	Clostridia	Clostridiales				bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG312.AS1.GP1.C13795.G10	tetM	tetracyclines	TetS_CAA63528_1	169	-	2601	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:169	bactNOG01674	Signal transduction mechanisms 	Gtp-Binding protein
MC3.MG312.AS1.GP1.C14762.G21	tetM	tetracyclines	MGTETM_KF628871_1	-	-	-	Bacteria	Firmicutes	Clostridia					bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG312.AS1.GP1.C2552.G1	tetM	tetracyclines	OtrA_CAA37477_1	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales				bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG312.AS1.GP1.C56901.G8	tetM	tetracyclines	MGTETM_KF627030_1	169	-	2601	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:169	bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG312.AS1.GP1.C57134.G17	tetM	tetracyclines	MGTETM_KF629399_1	-	-	-	Bacteria	Firmicutes	Clostridia					bactNOG01098	Translation, ribosomal structure and biogenesis 	This protein promotes the GTP-dependent translocation of the nascent protein chain from the A-site to the P-site of the ribosome
MC3.MG312.AS1.GP1.C63590.G7	tetM	tetracyclines	MGTETM_KF628682_1	964	-	2050	Bacteria	Firmicutes	Clostridia					bactNOG00297	Inorganic ion transport and metabolism 	Sulfate adenylyltransferase subunit 1
MC3.MG313.AS1.GP1.C17745.G2	tetM	tetracyclines	TetW_AAL09826_1	375	-	2404	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium dolichum DSM 3991	bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG313.AS1.GP1.C4700.G13	tetM	tetracyclines	MGTETM_KF628701_1	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium dolichum DSM 3991	bactNOG01098	Translation, ribosomal structure and biogenesis 	This protein promotes the GTP-dependent translocation of the nascent protein chain from the A-site to the P-site of the ribosome
MC3.MG313.AS1.GP1.C7904.G2	tetM	tetracyclines	MGTETM_KF628871_1	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			bactNOG01674	Signal transduction mechanisms 	Gtp-Binding protein
MC3.MG314.AS1.GP1.C12592.G4	tetM	tetracyclines	MGTETM_KF629399_1	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium symbiosum WAL-14673	bactNOG01098	Translation, ribosomal structure and biogenesis 	This protein promotes the GTP-dependent translocation of the nascent protein chain from the A-site to the P-site of the ribosome
MC3.MG314.AS1.GP1.C13535.G4	tetM	tetracyclines	MGTETM_KF628682_1	215	-	2815	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG314.AS1.GP1.C17785.G1	tetM	tetracyclines	MGTETM_KF630031_1	183	-	3490	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	Coprobacillus sp. 8_2_54BFAA	bactNOG02252	Translation, ribosomal structure and biogenesis 	Gtpase
MC3.MG314.AS1.GP1.C18259.G2	tetM	tetracyclines	MGTETM_KF629399_1	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			bactNOG03814	Translation, ribosomal structure and biogenesis 	Selenocysteine-Specific translation elongation factor
MC3.MG314.AS1.GP1.C19796.G8	tetM	tetracyclines	MGTETM_KF628682_1	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			bactNOG03861	Translation, ribosomal structure and biogenesis 	Elongation factor G
MC3.MG314.AS1.GP1.C21884.G68	tetM	tetracyclines	MGTETM_KF629399_1	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			bactNOG00398	Cell wall/membrane/envelope biogenesis 	Gtp-Binding protein LepA
MC3.MG314.AS1.GP1.C32577.G11	tetM	tetracyclines	MGTETM_KF628959_1	215	-	2815	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			bactNOG03814	Translation, ribosomal structure and biogenesis 	Selenocysteine-Specific translation elongation factor
MC3.MG314.AS1.GP1.C32955.G7	tetM	tetracyclines	MGTETM_KF629399_1	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			bactNOG01674	Signal transduction mechanisms 	Gtp-Binding protein
MC3.MG314.AS1.GP1.C36225.G2	tetM	tetracyclines	MGTETM_KF629399_1	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus		bactNOG01098	Translation, ribosomal structure and biogenesis 	This protein promotes the GTP-dependent translocation of the nascent protein chain from the A-site to the P-site of the ribosome
MC3.MG314.AS1.GP1.C4127.G2	tetM	tetracyclines	TetBP_AAA20117_1	134	-	5449	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Clostridium symbiosum	bactNOG02252	Translation, ribosomal structure and biogenesis 	Gtpase
MC3.MG314.AS1.GP1.C916.G1	tetM	tetracyclines	TetT_AAF01499_1L42544_1	-	-	-	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		bactNOG02252	Translation, ribosomal structure and biogenesis 	Gtpase
